,0
Gangplank,"['Trinity Force', 'The Collector', 'Ionian Boots of Lucidity']"
Garen,"['Stridebreaker', 'Phantom Dancer', ""Berserker's Greaves""]"
Gnar,"['Trinity Force', 'Plated Steelcaps', 'Black Cleaver']"
Gragas,"[""Sorcerer's Shoes"", 'Lich Bane', 'Stormsurge']"
Graves,"[""Youmuu's Ghostblade"", 'The Collector', ""Lord Dominik's Regards""]"
Gwen,"['Riftmaker', ""Nashor's Tooth"", 'Plated Steelcaps']"
Hecarim,"['Eclipse', 'Ionian Boots of Lucidity', 'Black Cleaver']"
Heimerdinger,"[""Sorcerer's Shoes"", ""Liandry's Torment"", 'Blackfire Torch']"
Hwei,"[""Sorcerer's Shoes"", 'Blackfire Torch', ""Liandry's Torment""]"
Illaoi,"['Iceborn Gauntlet', 'Black Cleaver', 'Plated Steelcaps']"
Irelia,"['Blade of The Ruined King', 'Plated Steelcaps', ""Wit's End""]"
Ivern,"['Ionian Boots of Lucidity', 'Redemption', 'Moonstone Renewer']"
Janna,"['Boots of Swiftness', 'Dream Maker', ""Shurelya's Battlesong""]"
JarvanIV,"['Sundered Sky', 'Eclipse', 'Plated Steelcaps']"
Jax,"['Trinity Force', 'Sundered Sky', 'Plated Steelcaps']"
Jayce,"['Eclipse', 'Muramana', 'Ionian Boots of Lucidity']"
Jhin,"['Boots of Swiftness', 'Rapid Firecannon', 'The Collector']"
Jinx,"[""Berserker's Greaves"", 'Kraken Slayer', 'Infinity Edge']"
Kaisa,"[""Guinsoo's Rageblade"", ""Berserker's Greaves"", 'Statikk Shiv']"
Kalista,"['Blade of The Ruined King', ""Berserker's Greaves"", ""Guinsoo's Rageblade""]"
Karma,"['Ionian Boots of Lucidity', ""Zaz'Zak's Realmspike"", 'Malignance']"
Karthus,"[""Sorcerer's Shoes"", ""Liandry's Torment"", 'Malignance']"
Kassadin,"[""Seraph's Embrace"", 'Malignance', ""Sorcerer's Shoes""]"
Katarina,"[""Sorcerer's Shoes"", 'Shadowflame', 'Lich Bane']"
Kayle,"[""Nashor's Tooth"", ""Berserker's Greaves"", ""Guinsoo's Rageblade""]"
Kayn,"['Eclipse', 'Ionian Boots of Lucidity', 'Black Cleaver']"
Kennen,"[""Sorcerer's Shoes"", 'Hextech Rocketbelt', ""Liandry's Torment""]"
Khazix,"[""Youmuu's Ghostblade"", 'Profane Hydra', 'Opportunity']"
Kindred,"['Kraken Slayer', 'The Collector', 'Plated Steelcaps']"
Kled,"['Profane Hydra', 'Eclipse', 'Plated Steelcaps']"
KogMaw,"[""Guinsoo's Rageblade"", ""Berserker's Greaves"", 'Blade of The Ruined King']"
KSante,"['Iceborn Gauntlet', 'Plated Steelcaps', 'Thornmail']"
Leblanc,"[""Luden's Companion"", ""Sorcerer's Shoes"", 'Stormsurge']"
LeeSin,"['Eclipse', 'Sundered Sky', 'Black Cleaver']"
Leona,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']"
Lillia,"[""Liandry's Torment"", ""Rylai's Crystal Scepter"", 'Riftmaker']"
Lissandra,"['Malignance', ""Zhonya's Hourglass"", ""Sorcerer's Shoes""]"
Lucian,"['Essence Reaver', 'Infinity Edge', 'Navori Flickerblade']"
Lulu,"['Dream Maker', 'Ionian Boots of Lucidity', 'Ardent Censer']"
Lux,"[""Sorcerer's Shoes"", ""Zaz'Zak's Realmspike"", ""Luden's Companion""]"
Malphite,"['Malignance', 'Plated Steelcaps', 'Thornmail']"
Malzahar,"[""Liandry's Torment"", ""Sorcerer's Shoes"", ""Rylai's Crystal Scepter""]"
Maokai,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']"
MasterYi,"['Blade of The Ruined King', ""Guinsoo's Rageblade"", 'Kraken Slayer']"
Milio,"['Dream Maker', 'Ionian Boots of Lucidity', 'Moonstone Renewer']"
MissFortune,"['The Collector', 'Bloodthirster', 'Infinity Edge']"
MonkeyKing,"['Trinity Force', 'Sundered Sky', 'Plated Steelcaps']"
Mordekaiser,"[""Rylai's Crystal Scepter"", 'Riftmaker', 'Plated Steelcaps']"
Morgana,"[""Zaz'Zak's Realmspike"", ""Zhonya's Hourglass"", ""Liandry's Torment""]"
Naafiri,"['Eclipse', 'Profane Hydra', 'Ionian Boots of Lucidity']"
Nami,"['Imperial Mandate', 'Ionian Boots of Lucidity', 'Dream Maker']"
Nasus,"['Trinity Force', 'Frozen Heart', 'Ionian Boots of Lucidity']"
Nautilus,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']"
Neeko,"['Hextech Rocketbelt', ""Zaz'Zak's Realmspike"", ""Zhonya's Hourglass""]"
Nidalee,"[""Sorcerer's Shoes"", 'Lich Bane', ""Liandry's Torment""]"
Nilah,"['The Collector', 'Infinity Edge', ""Lord Dominik's Regards""]"
Nocturne,"['Stridebreaker', 'Experimental Hexplate', 'Plated Steelcaps']"
Nunu,"['Hextech Rocketbelt', ""Sorcerer's Shoes"", 'Stormsurge']"
Olaf,"['Stridebreaker', 'Plated Steelcaps', ""Sterak's Gage""]"
Orianna,"[""Luden's Companion"", ""Sorcerer's Shoes"", ""Seraph's Embrace""]"
Ornn,"['Plated Steelcaps', 'Thornmail', 'Sunfire Aegis']"
Pantheon,"['Eclipse', 'Bloodsong', 'Plated Steelcaps']"
Poppy,"[""Dead Man's Plate"", 'Bloodsong', 'Plated Steelcaps']"
Pyke,"['Umbral Glaive', 'Bloodsong', 'Synchronized Souls']"
Qiyana,"['Profane Hydra', 'Ionian Boots of Lucidity', ""Youmuu's Ghostblade""]"
Quinn,"['Synchronized Souls', 'Profane Hydra', 'The Collector']"
Rakan,"['Celestial Opposition', 'Locket of the Iron Solari', ""Zeke's Convergence""]"
Rammus,"['Thornmail', 'Sunfire Aegis', ""Jak'Sho, The Protean""]"
RekSai,"['Stridebreaker', 'Plated Steelcaps', 'Black Cleaver']"
Rell,"['Celestial Opposition', 'Locket of the Iron Solari', ""Zeke's Convergence""]"
Renata,"['Locket of the Iron Solari', 'Ionian Boots of Lucidity', 'Celestial Opposition']"
Renekton,"['Eclipse', 'Black Cleaver', 'Plated Steelcaps']"
Rengar,"['Profane Hydra', 'Ionian Boots of Lucidity', 'Hubris']"
Riven,"['Eclipse', 'Black Cleaver', 'Ionian Boots of Lucidity']"
Rumble,"[""Liandry's Torment"", ""Sorcerer's Shoes"", ""Zhonya's Hourglass""]"
Ryze,"[""Seraph's Embrace"", 'Rod of Ages', ""Sorcerer's Shoes""]"
Samira,"['The Collector', 'Infinity Edge', 'Plated Steelcaps']"
Sejuani,"['Plated Steelcaps', 'Thornmail', ""Zeke's Convergence""]"
Senna,"['Boots of Swiftness', 'Bloodsong', 'Black Cleaver']"
Seraphine,"['Ionian Boots of Lucidity', ""Zaz'Zak's Realmspike"", ""Seraph's Embrace""]"
Sett,"['Stridebreaker', 'Plated Steelcaps', 'Blade of The Ruined King']"
Shaco,"['Profane Hydra', 'The Collector', ""Youmuu's Ghostblade""]"
Shen,"['Heartsteel', 'Plated Steelcaps', 'Sunfire Aegis']"
Shyvana,"['Spear of Shojin', ""Liandry's Torment"", ""Sorcerer's Shoes""]"
Singed,"[""Rylai's Crystal Scepter"", ""Liandry's Torment"", 'Boots of Swiftness']"
Sion,"['Heartsteel', 'Plated Steelcaps', 'Sunfire Aegis']"
Sivir,"[""Berserker's Greaves"", 'Navori Flickerblade', 'Essence Reaver']"
Skarner,"['Heartsteel', 'Plated Steelcaps', ""Mercury's Treads""]"
Smolder,"['Trinity Force', 'Muramana', 'Ionian Boots of Lucidity']"
Sona,"['Ionian Boots of Lucidity', 'Dream Maker', 'Moonstone Renewer']"
Soraka,"['Moonstone Renewer', 'Ionian Boots of Lucidity', 'Dream Maker']"
Swain,"[""Rylai's Crystal Scepter"", ""Zaz'Zak's Realmspike"", 'Malignance']"
Sylas,"['Hextech Rocketbelt', ""Sorcerer's Shoes"", ""Zhonya's Hourglass""]"
Syndra,"[""Luden's Companion"", ""Sorcerer's Shoes"", 'Stormsurge']"
TahmKench,"['Heartsteel', 'Plated Steelcaps', 'Thornmail']"
Taliyah,"[""Sorcerer's Shoes"", ""Luden's Companion"", ""Liandry's Torment""]"
Talon,"[""Youmuu's Ghostblade"", 'Ionian Boots of Lucidity', 'Profane Hydra']"
Taric,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']"
Teemo,"[""Liandry's Torment"", ""Nashor's Tooth"", ""Sorcerer's Shoes""]"
Thresh,"['Locket of the Iron Solari', 'Celestial Opposition', 'Solstice Sleigh']"
Tristana,"[""Berserker's Greaves"", 'Kraken Slayer', 'Navori Flickerblade']"
Trundle,"['Trinity Force', 'Plated Steelcaps', 'Ravenous Hydra']"
Tryndamere,"[""Berserker's Greaves"", 'Blade of The Ruined King', 'Ravenous Hydra']"
TwistedFate,"['Lich Bane', 'Rapid Firecannon', ""Luden's Companion""]"
Twitch,"[""Berserker's Greaves"", 'Blade of The Ruined King', ""Runaan's Hurricane""]"
Udyr,"[""Liandry's Torment"", 'Unending Despair', 'Plated Steelcaps']"
Urgot,"['Black Cleaver', 'Plated Steelcaps', ""Sterak's Gage""]"
Varus,"['Blade of The Ruined King', ""Berserker's Greaves"", ""Guinsoo's Rageblade""]"
Vayne,"['Blade of The Ruined King', ""Berserker's Greaves"", 'Kraken Slayer']"
Veigar,"[""Sorcerer's Shoes"", ""Luden's Companion"", ""Seraph's Embrace""]"
Velkoz,"[""Zaz'Zak's Realmspike"", ""Sorcerer's Shoes"", ""Luden's Companion""]"
Vex,"[""Sorcerer's Shoes"", ""Luden's Companion"", 'Shadowflame']"
Vi,"['Sundered Sky', 'Black Cleaver', 'Eclipse']"
Viego,"['Kraken Slayer', 'Sundered Sky', 'Plated Steelcaps']"
Viktor,"[""Sorcerer's Shoes"", ""Luden's Companion"", ""Liandry's Torment""]"
Vladimir,"['Cosmic Drive', ""Sorcerer's Shoes"", 'Ionian Boots of Lucidity']"
Volibear,"['Navori Flickerblade', 'Rod of Ages', 'Ionian Boots of Lucidity']"
Warwick,"['Blade of The Ruined King', 'Plated Steelcaps', 'Stridebreaker']"
Xayah,"[""Berserker's Greaves"", 'Navori Flickerblade', 'Essence Reaver']"
Xerath,"[""Luden's Companion"", ""Sorcerer's Shoes"", ""Zaz'Zak's Realmspike""]"
XinZhao,"['Sundered Sky', 'Eclipse', 'Plated Steelcaps']"
Yasuo,"[""Berserker's Greaves"", 'Blade of The Ruined King', 'Infinity Edge']"
Yone,"['Blade of The Ruined King', ""Berserker's Greaves"", 'Immortal Shieldbow']"
Yorick,"['Trinity Force', 'Plated Steelcaps', ""Serylda's Grudge""]"
Yuumi,"['Dream Maker', 'Moonstone Renewer', ""Mikael's Blessing""]"
Zac,"['Sunfire Aegis', 'Ionian Boots of Lucidity', 'Thornmail']"
Zed,"['Eclipse', 'Ionian Boots of Lucidity', 'Voltaic Cyclosword']"
Zeri,"['Statikk Shiv', ""Runaan's Hurricane"", ""Berserker's Greaves""]"
Ziggs,"[""Luden's Companion"", ""Sorcerer's Shoes"", ""Seraph's Embrace""]"
Zilean,"['Ionian Boots of Lucidity', ""Shurelya's Battlesong"", 'Celestial Opposition']"
Zoe,"[""Sorcerer's Shoes"", ""Luden's Companion"", 'Lich Bane']"
Zyra,"[""Zaz'Zak's Realmspike"", ""Liandry's Torment"", ""Sorcerer's Shoes""]"
